"Faixa Etária 1";"Masculino";"Feminino";"Total"
"0 a 4 anos";224625;214488;439113
"5 a 9 anos";236480;226480;462960
"10 a 14 anos";255675;245265;500940
"15 a 19 anos";283713;270710;554423
"20 a 24 anos";305443;288484;593927
"25 a 29 anos";306123;289023;595146
"30 a 34 anos";301507;287032;588539
"35 a 39 anos";260724;252763;513487
"40 a 44 anos";239773;235521;475294
"45 a 49 anos";232968;231397;464365
"50 a 54 anos";218944;221832;440776
"55 a 59 anos";177036;182644;359680
"60 a 64 anos";137739;146790;284529
"65 a 69 anos";96960;109553;206513
"70 a 74 anos";62593;76000;138593
"75 a 79 anos";40364;55204;95568
"80 a 84 anos";22634;35167;57801
"85 a 89 anos";11003;19281;30284
"90 anos e mais";5342;11910;17252
"Total";3419646;3399544;6819190
&