"Faixa Etária 1";"Masculino";"Feminino";"Total"
"0 a 4 anos";215309;205326;420635
"5 a 9 anos";227838;217690;445528
"10 a 14 anos";239395;229044;468439
"15 a 19 anos";254359;241622;495981
"20 a 24 anos";273724;257536;531260
"25 a 29 anos";296202;277873;574075
"30 a 34 anos";319227;300078;619305
"35 a 39 anos";331035;311214;642249
"40 a 44 anos";323374;305733;629107
"45 a 49 anos";310556;298319;608875
"50 a 54 anos";261344;258005;519349
"55 a 59 anos";232253;235209;467462
"60 a 64 anos";216688;225545;442233
"65 a 69 anos";192517;209052;401569
"70 a 74 anos";142868;163461;306329
"75 a 79 anos";96781;120582;217363
"80 a 84 anos";55128;78175;133303
"85 a 89 anos";25967;42900;68867
"90 anos e mais";15054;34604;49658
"Total";4029619;4011968;8041587
&